Sr no,State,District,Population,Literacy ,Literacy Rate,Area in sq kms,Single State,Total Crime 2001,Literate rate statewise,Literate rate per state,Count
1,Andaman and Nicobar,Andamans,314084,226600,82.49,6408,Andaman and Nicobar,0,77.42,77.42,2
2,Andaman and Nicobar,Nicobars,42068,26535,72.35,1841,Andhra Pradesh,2933,526.5852174,526.59,23
3,Andhra Pradesh,Adilabad,2488003,1112189,52.68,16105,Arunachal Pradesh,0,53.16692308,53.17,13
4,Andhra Pradesh,Nizamabad,2345685,1044788,52.02,7956,Assam,6,63.11695652,63.12,23
5,Andhra Pradesh,Karimnagar,3491822,1661089,54.9,11823,Bihar,1303,46.42135135,46.43,37
6,Andhra Pradesh,Medak,2670097,1171134,51.65,9700,Chandigarh,3,81.94,81.94,1
7,Andhra Pradesh,Hyderabad,3829753,2634949,78.8,217,Diu and Daman,0,76.015,76.02,2
8,Andhra Pradesh,Rangareddi,3575064,2034381,66.16,7493,Delhi,19,81.66666667,81.67,9
9,Andhra Pradesh,Mahbubnagar,3513934,1317521,44.41,18432,Goa,1,81.79,81.79,2
10,Andhra Pradesh,Nalgonda,3247982,1595643,57.15,14240,Gujarat,1242,67.0748,67.08,25
11,Andhra Pradesh,Warangal,3246004,1595745,57.13,12846,Haryana,229,68.24473684,68.25,19
12,Andhra Pradesh,Khammam,2578927,1267944,56.89,16029,Himachal Pradesh,110,75.50833333,75.51,12
13,Andhra Pradesh,Srikakulam,2537593,1217659,55.31,5837,Jharkhand,158,50.51166667,50.52,18
14,Andhra Pradesh,Vizianagaram,2249254,997482,51.07,6539,Jammu and Kashmir,10,54.86714286,54.87,14
15,Andhra Pradesh,Visakhapatnam,3832336,2002316,59.96,11161,Karnataka,1621,65.72666667,65.73,27
16,Andhra Pradesh,East Godavari,"4,872,622",2458822,10807,10807,Kerala,499,90.52285714,90.53,14
17,Andhra Pradesh,West Godavari,3803517,2539974,73.53,7742,Lakshdweep,0,86.66,86.66,1
18,Andhra Pradesh,Krishna,4187841,2455965,68.85,8727,Maharashtra,625,74.55342857,74.56,35
19,Andhra Pradesh,Guntur,4465144,1532126,62.54,11391,Manipur,0,424.4333333,424.44,9
20,Andhra Pradesh,Prakasam,3059423,1522866,57.38,17626,Meghalya,0,60.72285714,60.73,7
21,Andhra Pradesh,Nellore,2668564,1420752,65.08,13076,Mizoram,1,85.55375,85.56,8
22,Andhra Pradesh,Cuddapah,2601797,1592172,62.83,15359,Madhya Pradesh,4212,62.98066667,62.99,45
23,Andhra Pradesh,Kurnool,3529494,1774088,53.22,17658,Nagaland,1,68.52875,68.53,8
24,Andhra Pradesh,Anantapur,3640478,2176990,56.13,19130,ODISHA,1734,59.97965517,59.98,29
25,Andhra Pradesh,Chittoor,3745875,15337,66.77,15151,Pondicherry,13,82.995,83,4
26,Arunachal Pradesh,Tawang,38924,37687,47.32,2172,Punjab,134,68.61176471,68.62,17
27,Arunachal Pradesh,West,74599,18338,60.76,7422,Rajasthan,4892,58.931875,58.94,32
28,Arunachal Pradesh,East,57179,69982,40.64,4134,Sikkim,6,66.9975,67,4
29,Arunachal Pradesh,Papum,122003,35933,69.32,3462,Tamil Nadu,2336,72.94266667,72.95,30
30,Arunachal Pradesh,Lower,98244,22379,44.79,9548,Tripura,2,70.27,70.27,4
31,Arunachal Pradesh,Upper,55346,51216,50.35,7032,Uttar Pradesh,10732,56.01057143,56.02,70
32,Arunachal Pradesh,West,103918,43495,59.47,8325,UTTARAKHAND,168,72.01769231,72.02,13
33,Arunachal Pradesh,East,87397,13424,60.73,3603,West Bengal,10,66.07,66.07,18
34,Arunachal Pradesh,Upper,33363,27854,49.78,6590,CHHATTISGARH,501,63.023125,63.03,16
35,Arunachal Pradesh,Dibang,57720,64445,58.89,13029,,,,,
36,Arunachal Pradesh,Lohit,143527,51291,56.07,11402,,,,,
37,Arunachal Pradesh,Changlang,125422,33404,51.32,4662,,,,,
38,Arunachal Pradesh,Tirap,100326,383541,41.73,2362,,,,,
39,Assam,Kokrajhar,905764,625369,51.63,3538,,,,,
40,Assam,Dhubri,1637344,384670,48.21,2798,,,,,
41,Assam,Goalpara,822035,439861,58.03,1824,,,,,
42,Assam,Bongaigaon,904835,752682,59.33,2152,,,,,
43,Assam,Barpeta,1647201,1608191,56.24,3245,,,,,
44,Assam,Kamrup,2522324,657925,74.16,4345,,,,,
45,Assam,Nalbari,1148824,684998,67.23,2257,,,,,
46,Assam,Darrang,1504320,367292,55.44,3481,,,,,
47,Assam,Marigaon,776256,1165617,58.53,1551,,,,,
48,Assam,Nagaon,2314629,830579,61.73,3973,,,,,
49,Assam,Sonitpur,1681513,506433,59,5324,,,,,
50,Assam,Lakhimpur,889010,304606,68.56,2277,,,,,
51,Assam,Dhemaji,571944,588302,64.48,3237,,,,,
52,Assam,Tinsukia,1150062,698148,60.95,3790,,,,,
53,Assam,Dibrugarh,1185072,672158,68.96,3381,,,,,
54,Assam,Sibsagar,1051736,660591,74.47,2668,,,,,
55,Assam,Jorhat,999221,557360,76.34,2851,,,,,
56,Assam,Golaghat,946279,382574,69.38,3502,,,,,
57,Assam,Karbi,813311,106354,57.7,10434,,,,,
58,Assam,North,188079,824437,67.62,4888,,,,,
59,Assam,Cachar,1444921,550119,67.82,3786,,,,,
60,Assam,Karimganj,1007976,263547,66.24,1809,,,,,
61,Assam,Hailakandi,542872,932347,59.64,1327,,,,,
62,Bihar,Pashchim,3043466,1164670,38.93,5228,,,,,
63,Bihar,Purba,3939773,144444,37.54,3968,,,,,
64,Bihar,Sheohar,515961,817711,35.27,349,,,,,
65,Bihar,Sitamarhi,2682720,1195776,38.46,2294,,,,,
66,Bihar,Madhubani,3575281,509025,41.97,3501,,,,,
67,Bihar,Supaul,1732578,589679,37.28,2425,,,,,
68,Bihar,Araria,2158608,313488,35.01,2830,,,,,
69,Bihar,Kishanganj,1296348,700070,31.09,1884,,,,,
70,Bihar,Purnia,2543942,655119,35.1,3229,,,,,
71,Bihar,Katihar,2392638,431480,35.09,3057,,,,,
72,Bihar,Madhepura,1526646,465577,36.07,1788,,,,,
73,Bihar,Saharsa,1508182,1167572,39.08,1687,,,,,
74,Bihar,Darbhanga,3295789,1440954,44.33,2279,,,,,
75,Bihar,Muzaffarpur,3746714,816173,47.95,3172,,,,,
76,Bihar,Gopalganj,2152638,1118027,47.48,2033,,,,,
77,Bihar,Siwan,2714349,1347610,51.65,2219,,,,,
78,Bihar,Saran,3248701,1098151,51.8,2641,,,,,
79,Bihar,Vaishali,2718421,1211152,50.49,2036,,,,,
80,Bihar,Samastipur,3394793,896444,45.13,2904,,,,,
81,Bihar,Begusarai,2349366,414174,47.98,1918,,,,,
82,Bihar,Khagaria,1280354,965683,41.35,1486,,,,,
83,Bihar,Bhagalpur,2423172,547326,49.5,2569,,,,,
84,Bihar,Banka,1608773,554332,42.73,3020,,,,,
85,Bihar,Munger,1137797,303536,59.47,1419,,,,,
86,Bihar,Lakhisarai,802225,202035,47.96,1228,,,,,
87,Bihar,Sheikhpura,525502,1015473,48.6,689,,,,,
88,Bihar,Nalanda,2370528,2453501,53.19,2355,,,,,
89,Bihar,Patna,4718592,1073010,62.92,3202,,,,,
90,Bihar,Bhojpur,2243144,642167,58.96,2395,,,,,
91,Bihar,Buxar,1402396,561854,56.8,1703,,,,,
92,Bihar,Kaimur,1289074,1205287,55.12,3362,,,,,
93,Bihar,Rohtas,2450748,674115,61.29,3851,,,,,
94,Bihar,Jehanabad,1514315,920766,55.26,1569,,,,,
95,Bihar,Aurangabad,2013055,1405453,57.03,3305,,,,,
96,Bihar,Gaya,3473428,679135,50.45,4976,,,,,
97,Bihar,Nawada,1809696,476261,46.83,2494,,,,,
98,Bihar,Jamui,1398796,306668,42.43,3098,,,,,
99,Chhattisgarh,Koriya,586327,873459,63.09,6604,,,,,
100,Chhattisgarh,Surguja,1972094,395548,54.79,15731,,,,,
101,Chhattisgarh,Jashpur,743160,746495,63.77,5838,,,,,
102,Chhattisgarh,Raigarh,1265529,518372,70.16,7086,,,,,
103,Chhattisgarh,Korba,1011823,720507,61.71,6599,,,,,
104,Chhattisgarh,Janjgir,1317431,1048167,65.94,3852,,,,,
105,Chhattisgarh,Bilaspur,1998355,261036,63.51,8270,,,,,
106,Chhattisgarh,Kawardha,584552,823076,55.15,4223,,,,,
107,Chhattisgarh,Rajnandgaon,1283224,1793890,77.21,8068,,,,,
108,Chhattisgarh,Durg,2810436,1713653,75.62,8549,,,,,
109,Chhattisgarh,Raipur,3016930,484836,68.51,13083,,,,,
110,Chhattisgarh,Mahasamund,860257,441921,67.01,4789,,,,,
111,Chhattisgarh,Dhamtari,706591,396797,74.89,3385,,,,,
112,Chhattisgarh,Kanker,650934,471780,72.93,6506,,,,,
113,Chhattisgarh,Bastar,1306673,176944,43.91,14974,,,,,
