Sr no,State,District,Area in sq meters,Population,Literacy rate,Literacy,Single State,Total Crime 2011,Literate rate statewise,Literate rate per state,Count
1,Andaman and Nicobar,Andamans,3736.00,"238,142",89.13,25332,Andaman and Nicobar,0,83.595,83.6,2
2,Andaman and Nicobar,Nicobars,2672.00,"36,842",78.06,190266,Andhra Pradesh,4016,66.6647826086957,66.66,23
3,Andhra Pradesh,Adilabad,16105.00,"2,741,239",61.01,1483347,Arunachal Pradesh,0,63.861875,63.86,16
4,Andhra Pradesh,Nizamabad,7956.00,"2,551,335",61.25,1389810,Assam,0,72.2474074074074,72.25,27
5,Andhra Pradesh,Karimnagar,11823.00,"3,776,269",64.15,2206829,Bihar,3623,61.7563157894737,61.76,38
6,Andhra Pradesh,Medak,9699.00,"3,033,288",61.42,1637137,Chandigarh,0,54.4,54.4,1
7,Andhra Pradesh,Hyderabad,217.00,"3,943,323",83.25,2892155,Diu and Daman,0,85.765,85.77,2
8,Andhra Pradesh,Rangareddi,7493.00,"5,296,741",75.87,3538028,Delhi,28,86.5566666666667,86.56,9
9,Andhra Pradesh,Mahbubnagar,18432.00,"4,053,028",55.04,1940646,Goa,4,88.58,88.58,2
10,Andhra Pradesh,Nalgonda,14240.00,"3,488,809",64.2,2001019,Gujarat,1063,76.3892307692308,76.39,26
11,Andhra Pradesh,Warangal,12846.00,"3,512,576",65.11,2065023,Haryana,408,77.5215789473684,77.52,19
12,Andhra Pradesh,Khammam,16029.00,"2,797,370",64.81,1630234,Himachal Pradesh,94,81.7475,81.75,12
13,Andhra Pradesh,Srikakulam,5837.00,"2,703,114",61.74,1495381,Jharkhand,636,64.7445833333333,64.74,24
14,Andhra Pradesh,Vizianagaram,6539.00,"2,344,474",58.89,1238388,Jammu and Kashmir,1,68.4192307692308,68.42,13
15,Andhra Pradesh,Visakhapatnam,11161.00,"4,290,589",66.91,2568249,Karnataka,2481,73.6556666666667,73.66,30
,Andhra Pradesh,East Godavari,10807.00,"5,154,296",70.99,3288577,Kerala,761,93.695,93.7,14
,Andhra Pradesh,West Godavari,7742.00,"3,936,966",74.63,2652389,Lakshdweep,0,91.85,91.85,1
17,Andhra Pradesh,Krishna,8727.00,"4,517,398",73.74,3009718,Maharashtra,1143,80.9671428571429,80.97,35
18,Andhra Pradesh,Guntur,11391.00,"4,887,813",67.4,2960441,Manipur,0,76.36,76.36,9
19,Andhra Pradesh,Prakasam,17626.00,"3,397,448",63.08,1904435,Meghalya,0,73.2257142857143,73.23,7
20,Andhra Pradesh,Nellore,13076.00,"5,154,296",70.99,1832189,Mizoram,0,89.36125,89.36,8
21,Andhra Pradesh,Cuddapah,15359.00,"4,517,398",73.74,1716766,Madhya Pradesh,3245,67.8926530612245,67.89,49
22,Andhra Pradesh,Kurnool,17658.00,"4,053,463",59.97,2127161,Nagaland,0,78.3972727272727,78.4,11
23,Andhra Pradesh,Anantapur,19130.00,"4,081,148",63.57,2310960,ODISHA,1455,70.8396666666667,70.84,30
24,Andhra Pradesh,Chittoor,15152.00,"4,174,064",71.53,2667878,Pondicherry,18,87.4575,87.46,4
25,Arunachal Pradesh,Tawang,2172.00,"49,977",59,26073,Punjab,90,74.9541176470588,74.95,17
26,Arunachal Pradesh,West Kameng,7422.00,"83,947",67.07,48492,Rajasthan,5182,64.6006060606061,64.6,33
27,Arunachal Pradesh,East Kameng,4134.00,"78,690",60.02,38449,Sikkim,9,80.1675,80.17,4
28,Arunachal Pradesh,Papum Pare,3462.00,"176,573",79.95,121048,Tamil Nadu,1391,79.3375,79.34,32
29,Arunachal Pradesh,Upper Subansiri,7032.00,"83,448",63.8,45278,Tripura,22,86.6425,86.64,4
30,Arunachal Pradesh,West Siang,8325.00,"112,274",66.46,64746,Uttar Pradesh,7702,67.6512857142857,67.65,70
31,Arunachal Pradesh,East Siang,3603.00,"99,214",72.54,62576,UTTARAKHAND,32,79.4346153846154,79.43,13
32,Arunachal Pradesh,Upper Siang,6590.00,"35,320",59.99,18195,West Bengal,59,74.8636842105263,74.86,19
33,Arunachal Pradesh,Changlang,4662.00,18.18%,59.8,73174,CHHATTISGARH,253,68.885625,68.89,16
34,Arunachal Pradesh,Tirap,2362.00,"111,975",52.19,47974,,,,,
35,Arunachal Pradesh,Lower Subansiri,3508.00,"83,030",74.35,54057,,,,,
36,Arunachal Pradesh,Kurung Kumey,6040.00,"92,076",48.75,36606,,,,,
37,Arunachal Pradesh,Dibang Valley,9129.00,"8,004",64.1,4436,,,,,
37,Arunachal Pradesh,Lower Dibang Valley,3900.00,"54,080",69.13,31849,,,,,
37,Arunachal Pradesh,Lohit,5212.00,"145,726",68.18,83062,,,,,
37,Arunachal Pradesh,Anjaw,6190.00,"21,167",56.46,9990,,,,,
38,Assam,Kokrajhar,3296.00,"887,142",65.22,489305,,,,,
39,Assam,Dhubri,2176.00,"1,949,258",58.34,922341,,,,,
40,Assam,Goalpara,1824.00,"1,008,183",67.37,563577,,,,,
41,Assam,Barpeta,2282.00,"1,693,622",63.81,897058,,,,,
42,Assam,Morigaon,1551.00,"957,423",68.03,539902,,,,,
43,Assam,Nagaon,3973.00,"2,823,768",72.37,1710716,,,,,
44,Assam,Sonitpur,5204.00,"1,924,110",67.34,1108572,,,,,
45,Assam,Lakhimpur,2277.00,"1,042,137",77.2,683486,,,,,
46,Assam,Dhemaji,3237.00,"686,133",72.7,423028,,,,,
47,Assam,Tinsukia,3790.00,"1,327,929",69.66,798322,,,,,
48,Assam,Dibrugarh,3381.00,"1,326,335",76.05,884531,,,,,
49,Assam,Sivasagar,2668.00,"1,151,050",80.41,813505,,,,,
50,Assam,Jorhat,2851.00,"1,092,256",82.15,794929,,,,,
51,Assam,Golaghat,3502.00,"1,066,888",77.43,721764,,,,,
52,Assam,Karbi Anglong,10434.00,"956,313",69.25,557214,,,,,
53,Assam,Dima Hasao,4888.00,"214,102",77.54,140873,,,,,
54,Assam,Cachar,3786.00,"1,736,617",79.34,1174128,,,,,
55,Assam,Karimganj,1809.00,"1,228,686",78.22,795297,,,,,
56,Assam,Hailakandi,1327.00,"659,296",74.33,407366,,,,,
57,Assam,Bongaigaon,1093.00,"738,804",69.74,434078,,,,,
58,Assam,Chirang,1923.00,"482,162",63.55,259902,,,,,
59,Assam,Kamrup,3105.00,"1,517,542",75.55,995319,,,,,
60,Assam,Kamrup Metropolitan,955.00,"1,253,938",88.71,1001191,,,,,
60,Assam,Nalbari,1052.00,"771,639",78.63,531771,,,,,
