State,Year,Population,Area in sq kms,Total Crimes
Andaman and Nicobar,2001,356152,8249,2772
Andhra Pradesh,2001,76181209,275045,557964
Arunachal Pradesh,2001,1097968,83743,10486
Assam,2001,26655528,78438,162836
Bihar,2001,82998509,94163,379224
Chandigarh,2001,900635,40,16794
Diu and Daman,2001,158204,114021,1046
Delhi,2001,13850507,1483,520208
Goa,2001,1347668,3702,10558
Gujarat,2001,50671017,196024,447912
Haryana,2001,21144564,44212,168964
Himachal Pradesh,2001,6077900,55673,47696
Jharkhand,2001,26945829,79714,111458
Jammu and Kashmir,2001,10143700,101387,83408
Karnataka,2001,52850562,191791,463832
Kerala,2001,31841374,38863,427760
Lakshdweep,2001,60650,32,164
Maharashtra,2001,96878627,307713,769238
Manipur,2001,"2,389,489","22,327",10618
Meghalya,2001,2318822,22429,7452
Mizoram,2001,888573,21081,10848
Madhya Pradesh,2001,60348023,303425,775104
Nagaland,2001,1990036,20630,5532
ODISHA,2001,35664657,149870,200512
Pondicherry,2001,974345,4013,0
Punjab,2001,24358999,57789,118764
Rajasthan,2001,56507188,335487,662152
Sikkim,2001,540851,6420,1952
Tamil Nadu,2001,62405679,127563,655372
Tripura,2001,3199203,11182,12112
Uttar Pradesh,2001,166197921,245255,779114
UTTARAKHAND,2001,8489349,48616,35644
West Bengal,2001,80176197,88752,277910
