State,Year,Area,Population,Total Crimes
Andaman and Nicobar,2011,6408,274984,3404
Andhra Pradesh,2011,275045,88406445,822846
Arunachal Pradesh,2011,83743,1235501.182,10242
Assam,2011,78438,31205576,294402
Bihar,2011,94163,104099452,586572
Chandigarh,2011,8298,"1,413,199",17342
Diu and Daman,2011,111,243247,998
Delhi,2011,1483,16787941,535776
Goa,2011,3702,1458545,16140
Gujarat,2011,196244,60439692,529676
Haryana,2011,41346,24087213,281198
Himachal Pradesh,2011,55673,6864602,60092
Jharkhand,2011,79716,32988134,159558
Jammu and Kashmir,2011,92086,9142598,106034
Karnataka,2011,191791,61095297,594130
Kerala,2011,38852,33406061,700818
Lakshdweep,2011,25568,"64,473",184
Maharashtra,2011,307713,112374333,933246
Manipur,2011,22327,2855794,14754
Meghalya,2011,22429,2966889,12846
Mizoram,2011,21081,1097206,8918
Madhya Pradesh,2011,301646,71938948,922592
Nagaland,2011,16579,1978502,5166
ODISHA,2011,155707,41974218,267058
Pondicherry,2011,490,1247953,18900
Punjab,2011,45723,25033556,151420
Rajasthan,2011,342239,68548437,714694
Sikkim,2011,7096,610577,2580
Tamil Nadu,2011,130060,72147030,804686
Tripura,2011,10486,3673917,24918
Uttar Pradesh,2011,238973,201160706,874990
UTTARAKHAND,2011,47422,11405108,40168
West Bengal,2011,88752,91276115,628976
